CountryCode;RegionCode
DZA;Africa (excluding South Africa)
AGO;Africa (excluding South Africa)
BEN;Africa (excluding South Africa)
BWA;Africa (excluding South Africa)
BFA;Africa (excluding South Africa)
BDI;Africa (excluding South Africa)
CPV;Africa (excluding South Africa)
CMR;Africa (excluding South Africa)
CAF;Africa (excluding South Africa)
TCD;Africa (excluding South Africa)
COM;Africa (excluding South Africa)
COG;Africa (excluding South Africa)
CIV;Africa (excluding South Africa)
COD;Africa (excluding South Africa)
DJI;Africa (excluding South Africa)
EGY;Africa (excluding South Africa)
GNQ;Africa (excluding South Africa)
ERI;Africa (excluding South Africa)
SWZ;Africa (excluding South Africa)
ETH;Africa (excluding South Africa)
GAB;Africa (excluding South Africa)
GMB;Africa (excluding South Africa)
GHA;Africa (excluding South Africa)
GIN;Africa (excluding South Africa)
GNB;Africa (excluding South Africa)
KEN;Africa (excluding South Africa)
LSO;Africa (excluding South Africa)
LBR;Africa (excluding South Africa)
LBY;Africa (excluding South Africa)
MDG;Africa (excluding South Africa)
MWI;Africa (excluding South Africa)
MLI;Africa (excluding South Africa)
MRT;Africa (excluding South Africa)
MUS;Africa (excluding South Africa)
MYT;Africa (excluding South Africa)
MAR;Africa (excluding South Africa)
MOZ;Africa (excluding South Africa)
NAM;Africa (excluding South Africa)
NER;Africa (excluding South Africa)
NGA;Africa (excluding South Africa)
RWA;Africa (excluding South Africa)
REU;Africa (excluding South Africa)
STP;Africa (excluding South Africa)
SEN;Africa (excluding South Africa)
SYC;Africa (excluding South Africa)
SLE;Africa (excluding South Africa)
SOM;Africa (excluding South Africa)
SSD;Africa (excluding South Africa)
SDN;Africa (excluding South Africa)
TZA;Africa (excluding South Africa)
TGO;Africa (excluding South Africa)
TUN;Africa (excluding South Africa)
UGA;Africa (excluding South Africa)
ESH;Africa (excluding South Africa)
ZMB;Africa (excluding South Africa)
ZWE;Africa (excluding South Africa)
AUS;Australia & New Zealand
NZL;Australia & New Zealand
BRA;Brazil
CAN;Canada
SHN;Canada
SPM;Canada
AFG;Caspian Sea
ARM;Caspian Sea
AZE;Caspian Sea
GEO;Caspian Sea
KAZ;Caspian Sea
KGZ;Caspian Sea
PAK;Caspian Sea
TJK;Caspian Sea
TKM;Caspian Sea
UZB;Caspian Sea
AIA;Central America
ATG;Central America
ABW;Central America
BHS;Central America
BRB;Central America
BLZ;Central America
BMU;Central America
BES;Central America
CYM;Central America
CRI;Central America
CUB;Central America
CUW;Central America
DMA;Central America
DOM;Central America
SLV;Central America
GUF;Central America
GRD;Central America
GLP;Central America
GTM;Central America
GUY;Central America
HTI;Central America
HND;Central America
JAM;Central America
MTQ;Central America
MEX;Central America
MSR;Central America
NIC;Central America
PAN;Central America
BLM;Central America
KNA;Central America
LCA;Central America
MAF;Central America
VCT;Central America
SXM;Central America
SUR;Central America
TTO;Central America
TCA;Central America
CHN;China
HKG;China
MAC;China
AND;Europe
AUT;Europe
BEL;Europe
BVT;Europe
BGR;Europe
CYP;Europe
CZE;Europe
DNK;Europe
EST;Europe
FRO;Europe
FIN;Europe
FRA;Europe
DEU;Europe
GIB;Europe
GRC;Europe
GRL;Europe
GGY;Europe
HUN;Europe
ISL;Europe
IRL;Europe
IMN;Europe
ITA;Europe
JEY;Europe
LVA;Europe
LIE;Europe
LTU;Europe
LUX;Europe
MLT;Europe
MCO;Europe
NLD;Europe
NOR;Europe
POL;Europe
PRT;Europe
ROU;Europe
SMR;Europe
SVK;Europe
SVN;Europe
ESP;Europe
SJM;Europe
SWE;Europe
CHE;Europe
TUR;Europe
GBR;Europe
VAT;Europe
ALA;Europe
IND;India
JPN;Japan
BHR;Middle East
IRN;Middle East
IRQ;Middle East
ISR;Middle East
JOR;Middle East
KWT;Middle East
LBN;Middle East
OMN;Middle East
PSE;Middle East
QAT;Middle East
SAU;Middle East
SYR;Middle East
ARE;Middle East
YEM;Middle East
ATA;Rest of Asia and Oceania
BGD;Rest of Asia and Oceania
BTN;Rest of Asia and Oceania
IOT;Rest of Asia and Oceania
BRN;Rest of Asia and Oceania
KHM;Rest of Asia and Oceania
CXR;Rest of Asia and Oceania
CCK;Rest of Asia and Oceania
COK;Rest of Asia and Oceania
FJI;Rest of Asia and Oceania
PYF;Rest of Asia and Oceania
ATF;Rest of Asia and Oceania
GUM;Rest of Asia and Oceania
HMD;Rest of Asia and Oceania
IDN;Rest of Asia and Oceania
KIR;Rest of Asia and Oceania
LAO;Rest of Asia and Oceania
MYS;Rest of Asia and Oceania
MDV;Rest of Asia and Oceania
MHL;Rest of Asia and Oceania
FSM;Rest of Asia and Oceania
MNG;Rest of Asia and Oceania
MMR;Rest of Asia and Oceania
NRU;Rest of Asia and Oceania
NPL;Rest of Asia and Oceania
NCL;Rest of Asia and Oceania
NIU;Rest of Asia and Oceania
NFK;Rest of Asia and Oceania
PRK;Rest of Asia and Oceania
MNP;Rest of Asia and Oceania
PLW;Rest of Asia and Oceania
PNG;Rest of Asia and Oceania
PHL;Rest of Asia and Oceania
PCN;Rest of Asia and Oceania
WSM;Rest of Asia and Oceania
SGP;Rest of Asia and Oceania
SLB;Rest of Asia and Oceania
LKA;Rest of Asia and Oceania
TWN;Rest of Asia and Oceania
THA;Rest of Asia and Oceania
TLS;Rest of Asia and Oceania
TKL;Rest of Asia and Oceania
TON;Rest of Asia and Oceania
TUV;Rest of Asia and Oceania
VUT;Rest of Asia and Oceania
VNM;Rest of Asia and Oceania
WLF;Rest of Asia and Oceania
ALB;Rest of Europe
BLR;Rest of Europe
BIH;Rest of Europe
HRV;Rest of Europe
MDA;Rest of Europe
MNE;Rest of Europe
MKD;Rest of Europe
SRB;Rest of Europe
UKR;Rest of Europe
RUS;Russia
ZAF;South Africa
ARG;South America
BOL;South America
CHL;South America
COL;South America
ECU;South America
FLK;South America
PRY;South America
PER;South America
SGS;South America
URY;South America
VEN;South America
KOR;South Korea
ASM;United States
VGB;United States
PRI;United States
USA;United States
UMI;United States
VIR;United States
