generic;IAMCtech
Tech|Electricity|Biomass|w/ CCS|Capital Costs ($/kW);Capital Cost|Electricity|Biomass|w/ CCS (US$2005/kW)
Tech|Electricity|Biomass|w/ CCS|Efficiency (%);Efficiency|Electricity|Biomass|w/ CCS (%)
Tech|Electricity|Biomass|w/ CCS|Lifetime (years);Lifetime|Electricity|Biomass|w/ CCS (years)
Tech|Electricity|Biomass|w/ CCS|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Biomass|w/ CCS (US$2005/kW/yr)
Tech|Electricity|Biomass|w/o CCS|Capital Costs ($/kW);Capital Cost|Electricity|Biomass|w/o CCS (US$2005/kW)
Tech|Electricity|Biomass|w/o CCS|Efficiency (%);Efficiency|Electricity|Biomass|w/o CCS (%)
Tech|Electricity|Biomass|w/o CCS|Lifetime (years);Lifetime|Electricity|Biomass|w/o CCS (years)
Tech|Electricity|Biomass|w/o CCS|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Biomass|w/o CCS (US$2005/kW/yr)
Tech|Electricity|Coal|IGCC|w/o CCS|Capital Costs ($/kW);Capital Cost|Electricity|Coal|w/o CCS|1 (US$2005/kW)
Tech|Electricity|Coal|IGCC|w/o CCS|Efficiency (%);Efficiency|Electricity|Coal|w/o CCS|1 (%)
Tech|Electricity|Coal|IGCC|w/o CCS|Lifetime (years);Lifetime|Electricity|Coal|w/o CCS|1 (years)
Tech|Electricity|Coal|IGCC|w/o CCS|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Coal|w/o CCS|1 (US$2005/kW/yr)
Tech|Electricity|Coal|IGCCC|w/ CCS|Capital Costs ($/kW);Capital Cost|Electricity|Coal|w/ CCS|1 (US$2005/kW)
Tech|Electricity|Coal|IGCCC|w/ CCS|Efficiency (%);Efficiency|Electricity|Coal|w/ CCS|1 (%)
Tech|Electricity|Coal|IGCCC|w/ CCS|Lifetime (years);Lifetime|Electricity|Coal|w/ CCS|1 (years)
Tech|Electricity|Coal|IGCCC|w/ CCS|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Coal|w/ CCS|1 (US$2005/kW/yr)
Tech|Electricity|Coal|PC|w/o CCS|Capital Costs ($/kW);Capital Cost|Electricity|Coal|w/o CCS|2 (US$2005/kW)
Tech|Electricity|Coal|PC|w/o CCS|Efficiency (%);Efficiency|Electricity|Coal|w/o CCS|2 (%)
Tech|Electricity|Coal|PC|w/o CCS|Lifetime (years);Lifetime|Electricity|Coal|w/o CCS|2 (years)
Tech|Electricity|Coal|PC|w/o CCS|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Coal|w/o CCS|2 (US$2005/kW/yr)
Tech|Electricity|Coal|PCC|w/ CCS|Capital Costs ($/kW);Capital Cost|Electricity|Coal|w/ CCS|2 (US$2005/kW)
Tech|Electricity|Coal|PCC|w/ CCS|Lifetime (years);Lifetime|Electricity|Coal|w/ CCS|2 (years)
Tech|Electricity|Coal|PCC|w/ CCS|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Coal|w/ CCS|2 (US$2005/kW/yr)
Tech|Electricity|Coal|PCC|w/ CCS|Efficiency (%);Efficiency|Electricity|Coal|w/ CCS|2 (%)
Tech|Electricity|Gas|CC|w/o CCS|Capital Costs ($/kW);Capital Cost|Electricity|Gas|w/o CCS (US$2005/kW)
Tech|Electricity|Gas|CC|w/o CCS|Efficiency (%);Efficiency|Electricity|Gas|w/o CCS (%)
Tech|Electricity|Gas|CC|w/o CCS|Lifetime (years);Lifetime|Electricity|Gas|w/o CCS (years)
Tech|Electricity|Gas|CC|w/o CCS|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Gas|w/o CCS (US$2005/kW/yr)
Tech|Electricity|Gas|CCC|w/ CCS|Capital Costs ($/kW);Capital Cost|Electricity|Gas|w/ CCS|1 (US$2005/kW)
Tech|Electricity|Gas|CCC|w/ CCS|Efficiency (%);Efficiency|Electricity|Gas|w/ CCS|1 (%)
Tech|Electricity|Gas|CCC|w/ CCS|Lifetime (years);Lifetime|Electricity|Gas|w/ CCS|1 (years)
Tech|Electricity|Gas|CCC|w/ CCS|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Gas|w/ CCS|1 (US$2005/kW/yr)
Tech|Electricity|Gas|GT|Capital Costs ($/kW);Capital Cost|Electricity|Gas|w/o CCS|2 (US$2005/kW)
Tech|Electricity|Gas|GT|Efficiency (%);Efficiency|Electricity|Gas|w/o CCS|2 (%)
Tech|Electricity|Gas|GT|Lifetime (years);Lifetime|Electricity|Gas|w/o CCS|2 (years)
Tech|Electricity|Gas|GT|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Gas|w/o CCS|2 (US$2005/kW/yr)
Tech|Electricity|Geotherma|Capital Costs ($/kW);Capital Cost|Electricity|Geothermal (US$2005/kW)
Tech|Electricity|Geotherma|Lifetime (years);Lifetime|Electricity|Geothermal (years)
Tech|Electricity|Geotherma|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Geothermal (US$2005/kW/yr)
Tech|Electricity|Hydro|Capital Costs ($/kW);Capital Cost|Electricity|Hydro (US$2005/kW)
Tech|Electricity|Hydro|Lifetime (years);Lifetime|Electricity|Hydro (years)
Tech|Electricity|Hydro|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Hydro (US$2005/kW/yr)
Tech|Electricity|Nuclear|Capital Costs ($/kW);Capital Cost|Electricity|Nuclear (US$2005/kW)
Tech|Electricity|Nuclear|Lifetime (years);Lifetime|Electricity|Nuclear (years)
Tech|Electricity|Nuclear|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Nuclear (US$2005/kW/yr)
Tech|Electricity|Solar|CSP|Capital Costs ($/kW);Capital Cost|Electricity|Solar|CSP (US$2005/kW)
Tech|Electricity|Solar|CSP|Lifetime (years);Lifetime|Electricity|Solar|CSP (years)
Tech|Electricity|Solar|CSP|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Solar|CSP (US$2005/kW/yr)
Tech|Electricity|Solar|PV|Capital Costs ($/kW);Capital Cost|Electricity|Solar|PV (US$2005/kW)
Tech|Electricity|Solar|PV|Lifetime (years);Lifetime|Electricity|Solar|PV (years)
Tech|Electricity|Solar|PV|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Solar|PV (US$2005/kW/yr)
Tech|Electricity|Wind|Capital Costs ($/kW);Capital Cost|Electricity|Wind|Offshore (US$2005/kW)
Tech|Electricity|Wind|Capital Costs ($/kW);Capital Cost|Electricity|Wind|Onshore (US$2005/kW)
Tech|Electricity|Wind|Lifetime (years);Lifetime|Electricity|Wind (years)
Tech|Electricity|Wind|Lifetime (years);Lifetime|Electricity|Wind|Offshore (years)
Tech|Electricity|Wind|Lifetime (years);Lifetime|Electricity|Wind|Onshore (years)
Tech|Electricity|Wind|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Wind|Offshore (US$2005/kW/yr)
Tech|Electricity|Wind|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Wind|Onshore (US$2005/kW/yr)
Tech|Gases|Biomass|biogas|w/o CCS|Capital Costs ($/kW);Capital Cost|Gases|Biomass|w/o CCS (US$2005/kW)
Tech|Gases|Biomass|biogas|w/o CCS|Efficiency (%);Efficiency|Gases|Biomass|w/o CCS (%)
Tech|Gases|Biomass|biogas|w/o CCS|Lifetime (years);Lifetime|Gases|Biomass|w/o CCS (years)
Tech|Gases|Biomass|biogas|w/o CCS|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Gases|Biomass|w/o CCS (US$2005/kW/yr)
Tech|Gases|Coal|coalgas|w/o CCS|Capital Costs ($/kW);Capital Cost|Gases|Coal|w/o CCS (US$2005/kW)
Tech|Gases|Coal|coalgas|w/o CCS|Efficiency (%);Efficiency|Gases|Coal|w/o CCS (%)
Tech|Gases|Coal|coalgas|w/o CCS|Lifetime (years);Lifetime|Gases|Coal|w/o CCS (years)
Tech|Gases|Coal|coalgas|w/o CCS|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Gases|Coal|w/o CCS (US$2005/kW/yr)
Tech|Hydrogen|Biomass|bioh2|w/o CCS|Capital Costs ($/kW);Capital Cost|Hydrogen|Biomass|w/o CCS (US$2005/kW)
Tech|Hydrogen|Biomass|bioh2|w/o CCS|Efficiency (%);Efficiency|Hydrogen|Biomass|w/o CCS (%)
Tech|Hydrogen|Biomass|bioh2|w/o CCS|Lifetime (years);Lifetime|Hydrogen|Biomass|w/o CCS (years)
Tech|Hydrogen|Biomass|bioh2|w/o CCS|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Hydrogen|Biomass|w/o CCS (US$2005/kW/yr)
Tech|Hydrogen|Biomass|bioh2c|w/ CCS|Capital Costs ($/kW);Capital Cost|Hydrogen|Biomass|w/ CCS (US$2005/kW)
Tech|Hydrogen|Biomass|bioh2c|w/ CCS|Efficiency (%);Efficiency|Hydrogen|Biomass|w/ CCS (%)
Tech|Hydrogen|Biomass|bioh2c|w/ CCS|Lifetime (years);Lifetime|Hydrogen|Biomass|w/ CCS (years)
Tech|Hydrogen|Biomass|bioh2c|w/ CCS|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Hydrogen|Biomass|w/ CCS (US$2005/kW/yr)
Tech|Hydrogen|Coal|coalh2|w/o CCS|Capital Costs ($/kW);Capital Cost|Hydrogen|Coal|w/o CCS (US$2005/kW)
Tech|Hydrogen|Coal|coalh2|w/o CCS|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Hydrogen|Coal|w/o CCS (US$2005/kW/yr)
Tech|Hydrogen|Coal|coalh2|w/o CCS|Efficiency (%);Efficiency|Hydrogen|Coal|w/o CCS (%)
Tech|Hydrogen|Coal|coalh2|w/o CCS|Lifetime (years);Lifetime|Hydrogen|Coal|w/o CCS (years)
Tech|Hydrogen|Coal|coalh2c|w/ CCS|Capital Costs ($/kW);Capital Cost|Hydrogen|Coal|w/ CCS (US$2005/kW)
Tech|Hydrogen|Coal|coalh2c|w/ CCS|Efficiency (%);Efficiency|Hydrogen|Coal|w/ CCS (%)
Tech|Hydrogen|Coal|coalh2c|w/ CCS|Lifetime (years);Lifetime|Hydrogen|Coal|w/ CCS (years)
Tech|Hydrogen|Coal|coalh2c|w/ CCS|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Hydrogen|Coal|w/ CCS (US$2005/kW/yr)
Tech|Hydrogen|Electricity|Capital Costs ($/kW);Capital Cost|Hydrogen|Electricity (US$2005/kW)
Tech|Hydrogen|Electricity|Efficiency (%);Efficiency|Hydrogen|Electricity (%)
Tech|Hydrogen|Electricity|Lifetime (years);Lifetime|Hydrogen|Electricity (years)
Tech|Hydrogen|Electricity|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Hydrogen|Electricity (US$2005/kW/yr)
Tech|Hydrogen|Gas|gash2|w/o CCS|Capital Costs ($/kW);Capital Cost|Hydrogen|Gas|w/o CCS (US$2005/kW)
Tech|Hydrogen|Gas|gash2|w/o CCS|Efficiency (%);Efficiency|Hydrogen|Gas|w/o CCS (%)
Tech|Hydrogen|Gas|gash2|w/o CCS|Lifetime (years);Lifetime|Hydrogen|Gas|w/o CCS (years)
Tech|Hydrogen|Gas|gash2|w/o CCS|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Hydrogen|Gas|w/o CCS (US$2005/kW/yr)
Tech|Hydrogen|Gas|gash2c|w/ CCS|Capital Costs ($/kW);Capital Cost|Hydrogen|Gas|w/ CCS (US$2005/kW)
Tech|Hydrogen|Gas|gash2c|w/ CCS|Efficiency (%);Efficiency|Hydrogen|Gas|w/ CCS (%)
Tech|Hydrogen|Gas|gash2c|w/ CCS|Lifetime (years);Lifetime|Hydrogen|Gas|w/ CCS (years)
Tech|Hydrogen|Gas|gash2c|w/ CCS|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Hydrogen|Gas|w/ CCS (US$2005/kW/yr)
Tech|Liquids|Biomass|biodiesel|w/o CCS|Capital Costs ($/kW);Capital Cost|Liquids|Biomass|w/o CCS|2 (US$2005/kW)
Tech|Liquids|Biomass|biodiesel|w/o CCS|Efficiency (%);Efficiency|Liquids|Biomass|w/o CCS|2 (%)
Tech|Liquids|Biomass|biodiesel|w/o CCS|Lifetime (years);Lifetime|Liquids|Biomass|w/o CCS|2 (years)
Tech|Liquids|Biomass|biodiesel|w/o CCS|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Liquids|Biomass|w/o CCS|2 (US$2005/kW/yr)
Tech|Liquids|Biomass|bioftcrec|w/ CCS|Capital Costs ($/kW);Capital Cost|Liquids|Biomass|w/ CCS (US$2005/kW)
Tech|Liquids|Biomass|bioftcrec|w/ CCS|Efficiency (%);Efficiency|Liquids|Biomass|w/ CCS (%)
Tech|Liquids|Biomass|bioftcrec|w/ CCS|Lifetime (years);Lifetime|Liquids|Biomass|w/ CCS (years)
Tech|Liquids|Biomass|bioftcrec|w/ CCS|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Liquids|Biomass|w/ CCS (US$2005/kW/yr)
Tech|Liquids|Biomass|bioftrec|w/o CCS|Capital Costs ($/kW);Capital Cost|Liquids|Biomass|w/o CCS|1 (US$2005/kW)
Tech|Liquids|Biomass|bioftrec|w/o CCS|Efficiency (%);Efficiency|Liquids|Biomass|w/o CCS|1 (%)
Tech|Liquids|Biomass|bioftrec|w/o CCS|Lifetime (years);Lifetime|Liquids|Biomass|w/o CCS|1 (years)
Tech|Liquids|Biomass|bioftrec|w/o CCS|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Liquids|Biomass|w/o CCS|1 (US$2005/kW/yr)
Tech|Liquids|Coal|coalftcrec|w/ CCS|Capital Costs ($/kW);Capital Cost|Liquids|Coal|w/ CCS (US$2005/kW)
Tech|Liquids|Coal|coalftcrec|w/ CCS|Efficiency (%);Efficiency|Liquids|Coal|w/ CCS (%)
Tech|Liquids|Coal|coalftcrec|w/ CCS|Lifetime (years);Lifetime|Liquids|Coal|w/ CCS (years)
Tech|Liquids|Coal|coalftcrec|w/ CCS|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Liquids|Coal|w/ CCS (US$2005/kW/yr)
Tech|Liquids|Coal|coalftrec|w/o CCS|Capital Costs ($/kW);Capital Cost|Liquids|Coal|w/o CCS (US$2005/kW)
Tech|Liquids|Coal|coalftrec|w/o CCS|Efficiency (%);Efficiency|Liquids|Coal|w/o CCS (%)
Tech|Liquids|Coal|coalftrec|w/o CCS|Lifetime (years);Lifetime|Liquids|Coal|w/o CCS (years)
Tech|Liquids|Coal|coalftrec|w/o CCS|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Liquids|Coal|w/o CCS (US$2005/kW/yr)
Tech|Liquids|Oil|refdip|Capital Costs ($/kW);Capital Cost|Liquids|Oil (US$2005/kW)
Tech|Liquids|Oil|refdip|Efficiency (%);Efficiency|Liquids|Oil (%)
Tech|Liquids|Oil|refdip|Lifetime (years);Lifetime|Liquids|Oil (years)
Tech|Liquids|Oil|refdip|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Liquids|Oil (US$2005/kW/yr)
