"id","x_IndepVar","regressionname","denominator","quotient","weight","functional_form_income","x_scen","para_1","para_2","para_3","para_4","para_5","para_6","R2","R2adj","start_1","start_2","start_3","start_4","start_5","start_6"
"new","","SSP2","wood","pop","pop","y~(a * x)/(b + x)","SSP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"new","","SSP2","wood","pop","pop","y~a/x + b","SSP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"new","","SSP2","wood","pop","pop","y~a * x^b","SSP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"new","","SSP2","wood","pop","pop","y~a + x^b","SSP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"new","","SSP2","wood","pop","pop","y~a + b*x^c","SSP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"new","","SSP2","intake_pc","pop","pop","y~(a * x)/(b + x)","SSP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"new","","SSP2","intake_pc","pop","pop","y~a/x + b","SSP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"new","","SSP2","intake_pc","pop","pop","y~a * x^b","SSP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"new","","SSP2","intake_pc","pop","pop","y~a + x^b","SSP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"new","","SSP2","intake_pc","pop","pop","y~a + b*x^c","SSP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20170830_154826","gdp","SSP2","wood","pop","pop","y~(a * x)/(b + x)","SSP2","1.82706468218207","49818.26973103",NA,NA,NA,NA,"0.0476507535508518","0.0475612722724107",NA,NA,NA,NA,NA,NA
"20170830_154826","gdp","SSP2","wood","pop","pop","y~a/x + b","SSP2","-147.717176240542","0.28201499564418",NA,NA,NA,NA,"0.02993714903458","0.0298460034129541",NA,NA,NA,NA,NA,NA
"20170830_154826","gdp","SSP2","wood","pop","pop","y~a * x^b","SSP2","0.000182234780095694","0.798376015027187",NA,NA,NA,NA,"0.0214270623932236","0.0213351171768742",NA,NA,NA,NA,NA,NA
"20170830_154826","gdp","SSP2","wood","pop","pop","y~a + x^b","SSP2","-1.73954324434296","0.0805888443860258",NA,NA,NA,NA,"0.059887807352669","0.0597994758490847",NA,NA,NA,NA,NA,NA
"20170830_154826","gdp","SSP2","wood","pop","pop","y~a + b*x^c","SSP2","-0.0534215387133978","0.00071629129348294","0.67286142680293",NA,NA,NA,"0.0293195810353528","0.0292283773879822",NA,NA,NA,NA,NA,NA
"20170830_154826","gdp","SSP2","intake_pc","pop","pop","y~(a * x)/(b + x)","SSP2","17.2609708839791","-493.984251287171",NA,NA,NA,NA,"0.0019268613414261","-0.0107069758567837",NA,NA,NA,NA,NA,NA
"20170830_154826","gdp","SSP2","intake_pc","pop","pop","y~a/x + b","SSP2","7377.56863548248","27.0340732917887",NA,NA,NA,NA,"0.0183006281920103","0.0058740538653268",NA,NA,NA,NA,NA,NA
"20170830_154826","gdp","SSP2","intake_pc","pop","pop","y~a * x^b","SSP2","1.03671983769661","0.38256187018712",NA,NA,NA,NA,"0.00100065800856822","-0.0116449032824626",NA,NA,NA,NA,NA,NA
"20170830_154826","gdp","SSP2","intake_pc","pop","pop","y~a + x^b","SSP2","2.79946991131978","0.37780851454442",NA,NA,NA,NA,"0.00102671276746465","-0.0116185187164914",NA,NA,NA,NA,NA,NA
"20170830_154826","gdp","SSP2","intake_pc","pop","pop","y~a + b*x^c","SSP2","15.0801432032743","0.0385746584990564","0.66846262528579",NA,NA,NA,"0.000107486065905229","-0.0125493811990833",NA,NA,NA,NA,NA,NA
"20170831_153213","gdp","SSP2","wood","pop","pop","y~(a * x)/(b + x)","SSP2","1.82706468218207","49818.26973103",NA,NA,NA,NA,"0.0476507535508518","0.0475612722724107",NA,NA,NA,NA,NA,NA
"20170831_153213","gdp","SSP2","wood","pop","pop","y~a/x + b","SSP2","-147.717176240542","0.28201499564418",NA,NA,NA,NA,"0.02993714903458","0.0298460034129541",NA,NA,NA,NA,NA,NA
"20170831_153213","gdp","SSP2","wood","pop","pop","y~a * x^b","SSP2","0.000182234780095694","0.798376015027187",NA,NA,NA,NA,"0.0214270623932236","0.0213351171768742",NA,NA,NA,NA,NA,NA
"20170831_153213","gdp","SSP2","wood","pop","pop","y~a + x^b","SSP2","-1.73954324434296","0.0805888443860258",NA,NA,NA,NA,"0.059887807352669","0.0597994758490847",NA,NA,NA,NA,NA,NA
"20170831_153213","gdp","SSP2","wood","pop","pop","y~a + b*x^c","SSP2","-0.0534215387133978","0.00071629129348294","0.67286142680293",NA,NA,NA,"0.0293195810353528","0.0292283773879822",NA,NA,NA,NA,NA,NA
"20170831_153213","gdp","SSP2","intake_pc","pop","pop","y~(a * x)/(b + x)","SSP2","17.2609708839791","-493.984251287171",NA,NA,NA,NA,"0.0019268613414261","-0.0107069758567837",NA,NA,NA,NA,NA,NA
"20170831_153213","gdp","SSP2","intake_pc","pop","pop","y~a/x + b","SSP2","7377.56863548248","27.0340732917887",NA,NA,NA,NA,"0.0183006281920103","0.0058740538653268",NA,NA,NA,NA,NA,NA
"20170831_153213","gdp","SSP2","intake_pc","pop","pop","y~a * x^b","SSP2","1.03671983769661","0.38256187018712",NA,NA,NA,NA,"0.00100065800856822","-0.0116449032824626",NA,NA,NA,NA,NA,NA
"20170831_153213","gdp","SSP2","intake_pc","pop","pop","y~a + x^b","SSP2","2.79946991131978","0.37780851454442",NA,NA,NA,NA,"0.00102671276746465","-0.0116185187164914",NA,NA,NA,NA,NA,NA
"20170831_153213","gdp","SSP2","intake_pc","pop","pop","y~a + b*x^c","SSP2","15.0801432032743","0.0385746584990564","0.66846262528579",NA,NA,NA,"0.000107486065905229","-0.0125493811990833",NA,NA,NA,NA,NA,NA
"20170905_184504","gdp","SSP2","wood","pop","pop","y~(a * x)/(b + x)","SSP2","1.82706468754722","49818.2697645565",NA,NA,NA,NA,"0.0476507535706735","0.0475612722922342",NA,NA,NA,NA,NA,NA
"20170905_184504","gdp","SSP2","wood","pop","pop","y~a/x + b","SSP2","-147.717204076098","0.282015032371643",NA,NA,NA,NA,"0.0299371490421283","0.029846003420503",NA,NA,NA,NA,NA,NA
"20170905_184504","gdp","SSP2","wood","pop","pop","y~a * x^b","SSP2","0.000182234765315806","0.798376023434032",NA,NA,NA,NA,"0.0214270618404042","0.0213351166240029",NA,NA,NA,NA,NA,NA
"20170905_184504","gdp","SSP2","wood","pop","pop","y~a + x^b","SSP2","-1.73954324766306","0.0805888446184863",NA,NA,NA,NA,"0.0598878074100621","0.0597994759064833",NA,NA,NA,NA,NA,NA
"20170905_184504","gdp","SSP2","wood","pop","pop","y~a + b*x^c","SSP2","-0.0534215276760979","0.000716291056878422","0.672861458026245",NA,NA,NA,"0.0293195789302139","0.0292283752826457",NA,NA,NA,NA,NA,NA
"20170905_184504","gdp","SSP2","intake_pc","pop","pop","y~(a * x)/(b + x)","SSP2","17.2609708729517","-493.984251243804",NA,NA,NA,NA,"0.00192686133206841","-0.0107069758662599",NA,NA,NA,NA,NA,NA
"20170905_184504","gdp","SSP2","intake_pc","pop","pop","y~a/x + b","SSP2","7377.5686882795","27.0340732739958",NA,NA,NA,NA,"0.0183006281587355","0.00587405383163075",NA,NA,NA,NA,NA,NA
"20170905_184504","gdp","SSP2","intake_pc","pop","pop","y~a * x^b","SSP2","1.03671986816295","0.382561866950507",NA,NA,NA,NA,"0.0010006579990214","-0.0116449032921304",NA,NA,NA,NA,NA,NA
"20170905_184504","gdp","SSP2","intake_pc","pop","pop","y~a + x^b","SSP2","2.79947488011688","0.377808498694189",NA,NA,NA,NA,"0.00102671282764491","-0.0116185186555495",NA,NA,NA,NA,NA,NA
"20170905_184504","gdp","SSP2","intake_pc","pop","pop","y~a + b*x^c","SSP2","15.0801436178294","0.0385746567943496","0.668462645309715",NA,NA,NA,"0.000107486030390146","-0.0125493812350481",NA,NA,NA,NA,NA,NA
